Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in minutes,Duration in timestamp,Duration,Uploaded Time,Video url,Tags,Tags (in description),Emails (in description),Links (in description)
What is Machine Learning? | 100 Days of Machine Learning,"Machine learning is the study of computer algorithms that can improve automatically through experience and by the use of data. It is seen as a part of artificial intelligence. Machine learning algorithms build a model based on sample data, known as ""training data"", in order to make predictions or decisions without being explicitly programmed to do so. Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision, where it is difficult or unfeasible to develop conventional algorithms to perform the needed tasks.

In this video, we will discuss what Machine Learning is and how it has evolved over the years.

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

✨ Hashtags✨

#MachineLearning #MachineLearningTutorial #MachineLearningCourse #MachineLearningPython #MachineLearningAlgorithms #MachineLearningAlgorithmsForDataScience #WhatIsMachineLearning",https://i.ytimg.com/vi/ZftI2fEz0Fw/sddefault.jpg,CampusX,2827386,29670,1653,1200,20,20:00,"20 Minutes, 0 Seconds",2021-03-13T16:15:53,https://www.youtube.com/watch?v=ZftI2fEz0Fw,"[#machine learning tutorial, #machine learning course, #machine learning python, #machine learning algorithms, #machine learning explained, #machine learning algorithms for data science, #what is machine learning, #what is machine learning in hindi, #machine learning basics for beginners, #end to end machine learning, #What is machine learning with example?, #Machine learning introduction, #deep learning, #campusx, #machine learning, #nitish singh campusx, #nitish sir campusx]","[#MachineLearningAlgorithms, #WhatIsMachineLearning, #MachineLearningPython, #MachineLearning, #MachineLearningAlgorithmsForDataScience, #MachineLearningCourse, #MachineLearningTutorial]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
AI Vs ML Vs DL for Beginners in Hindi,"AI is an umbrella discipline that covers everything related to making machines smarter. Machine Learning (ML) is commonly used along with AI but it is a subset of AI. ML refers to an AI system that can self-learn based on the algorithm. Systems that get smarter and smarter over time without human intervention are ML. Deep Learning (DL) is a machine learning (ML) applied to large data sets. Most AI work involves ML because intelligent behavior requires considerable knowledge.

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

✨ Hashtags✨
#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi",https://i.ytimg.com/vi/1v3_AQ26jZ0/sddefault.jpg,CampusX,556619,13063,426,962,16.03,16:02,"16 Minutes, 2 Seconds",2021-03-15T16:28:35,https://www.youtube.com/watch?v=1v3_AQ26jZ0,"[#ai vs ml vs dl, #artificial intelligence vs machine learning, #ai vs ml vs dl vs data science, #artificial intelligence in hindi, #machine learning vs ai, #deep learning vs machine learning, #ai vs ml, #what is ai, #what is ml, #what is machine learning, #machine learning in hindi, #machine learning with python, #ai vs ml vs ml in hindi, #ai vs ml vs dl for beginners, #campusx, #nitish sir campusx, #100 days of machine learning, #machine learning full course, #data science in hindi]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Types of Machine Learning for Beginners | Types of Machine learning in Hindi | Types of ML in Depth,"In this video, what are the various types of Machine Learning and their sub-types.
Types of learning that you must be familiar with as a machine learning practitioner are:

1. Supervised Machine Learning
2. Semi-supervised Learning
3. Unsupervised Learning
4. Reinforcement Learning

Resources used in this video:

The Beer and Diaper Story:
https://tdwi.org/articles/2016/11/15/beer-and-diapers-impossible-correlation.aspx

Alphago Documentary:
https://www.youtube.com/watch?v=WXuK6gekU1Y

Dimensionality Reduction in action:
https://colah.github.io/posts/2014-10-Visualizing-MNIST/

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
00:45 - Types of ML
01:50 - Supervised Learning
08:10 - Unsupervised Learning
20:55 - Semi Supervised Learning
27:25 - Outro",https://i.ytimg.com/vi/81ymPYEtFOw/sddefault.jpg,CampusX,637009,13923,399,1662,27.7,27:42,"27 Minutes, 42 Seconds",2021-03-16T13:49:16,https://www.youtube.com/watch?v=81ymPYEtFOw,"[#types of machine learning, #supervised learning in artificial intelligence, #Types of Machine Learning for Beginners, #Types of Machine learning in Hindi, #supervised vs unsupervised machine learning, #supervised vs unsupervised vs reinforcement learning, #supervised vs unsupervised learning examples, #supervised vs unsupervised learning algorithms, #supervised vs unsupervised learning vs semi-supervised learning, #campusx, #nitish sir campusx, #100 days of machine learning]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://tdwi.org/articles/2016/11/15/beer-and-diapers-impossible-correlation.aspx, https://www.youtube.com/watch?v=WXuK6gekU1Y, https://www.instagram.com/campusx.official, https://colah.github.io/posts/2014-10-Visualizing-MNIST/]"
Batch Machine Learning | Offline Vs Online Learning | Machine Learning Types,"Batch Machine Learning | Offline Vs Online Learning | Machine Learning Types

Hi, my name is Nitish Singh and you are welcome to my YouTube channel. In this video, discuss the concept of Batch Machine Learning, we will also discuss Offline Vs Online Machine Learning.

Batch Machine Learning: In the machine learning world, offline learning refers to situations where the program is not operating and taking in new information in real-time. Instead, it has a static set of input data. The opposite is online learning, where the machine learning program is working in real-time on data that comes in. From this video, we will learn the pros and cons of batch machine 
learning.

For Online Learning
https://youtu.be/3oOipgCbLIk

Top Playlists on my channel:

100 Days Machine Learning Playlist
https://www.youtube.com/playlist?list=PLKnIA16_Rmvbr7zKYQuBfsVkjoLcJgxHH

100 Days of Python
https://www.youtube.com/playlist?list=PLKnIA16_Rmvb1RYR-iTA_hzckhdONtSW4

Machine Learning Projects
https://www.youtube.com/playlist?list=PLKnIA16_RmvY5eP91BGPa0vXUYmIdtfPQ


About CampusX:

CampusX is an online mentorship program for engineering students. We offer a 6-month long mentorship to students in the latest cutting-edge technologies like Machine Learning, Python, Web Development, and Deep Learning & Neural networks.

At its core, CampusX aims to change the education system of India. We believe that high-quality education is not just for the privileged few. It is the right of everyone who seeks it. Through our mentorship program, we aim to bring quality education to every single student. A mentored student is provided with guidance on how to ace a technology through 24x7 mentorship, live and recorded video lectures, daily skill-building activities, project assignments, and evaluation, hackathons, interactions with industry experts, soft skill training, personal counseling, and comprehensive reports. All we need from you is intent, a ray of passion to learn.




** Tags **
machine learning, types of machine learning, machine learning tutorial, online machine learning, machine learning types, online learning, batch learning, what is machine learning, supervised learning, deep learning, batch learning vs online learning, machine learning in Hindi, unsupervised learning, machine learning algorithms, batch learning machine learning, type of machine learning, machine learning explained, machine learning Hindi, machine learning in Urdu

Connect with us:

Website: http://www.campusx.in

Linkedin: https://www.linkedin.com/in/nitish-singh-03412789/

Instagram: https://www.instagram.com/campusx.official/

Github: https://github.com/campusx-official

Email: nitish.campusx@gmail.com

Chat on Whatsapp: https://wa.me/918420166148

#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi",https://i.ytimg.com/vi/nPrhFxEuTYU/sddefault.jpg,CampusX,410171,8574,242,688,11.47,11:28,"11 Minutes, 28 Seconds",2021-03-17T14:13:41,https://www.youtube.com/watch?v=nPrhFxEuTYU,"[#batch machine learning, #online machine learning, #types of machine learning, #online learning, #offline learning, #batch learning vs online learning, #campusx, #nitish singh campusx, #machine learning in urdu, #machine learning tutorial, #100 days of machine learning, #machine learning course, #nitish sir campusx, #machine learning full course, #machine learning end to end, #data science full course, #data science in hindi, #machine learning in hindi, #machine learning for beginners]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[nitish.campusx@gmail.com],"[https://www.youtube.com/playlist?list=PLKnIA16_Rmvbr7zKYQuBfsVkjoLcJgxHH, https://github.com/campusx-official, https://www.instagram.com/campusx.official/, https://wa.me/918420166148, https://www.youtube.com/playlist?list=PLKnIA16_Rmvb1RYR-iTA_hzckhdONtSW4, https://www.youtube.com/playlist?list=PLKnIA16_RmvY5eP91BGPa0vXUYmIdtfPQ, https://www.linkedin.com/in/nitish-singh-03412789/, https://youtu.be/3oOipgCbLIk, http://www.campusx.in]"
Online Machine Learning | Online Learning | Online Vs Offline Machine Learning,"Online learning is a common technique used in areas of machine learning where it is computationally infeasible to train over the entire dataset, requiring the need for out-of-core algorithms. It is also used in situations where it is necessary for the algorithm to dynamically adapt to new patterns in the data, or when the data itself is generated as a function of time, e.g., stock price prediction. Online learning algorithms may be prone to catastrophic interference, a problem that can be addressed by incremental learning approaches. 

Online Learning:
https://youtu.be/3oOipgCbLIk

River Website: https://riverml.xyz/dev/

Vowpal Wabbit: https://vowpalwabbit.org/

Code used: https://github.com/campusx-official/online-ml-sklearn-demo

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

✨ Hashtags✨

#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi

⌚Time Stamps⌚

00:00 - Intro
00:42 - What is Online Machine Learning?
02:20 - How does online ML works?
05:58 - When should you use Online ML?
09:55 - River Library
10:45 - Vowpal Wabbit
11:20 - What is Online Learning Rate?
12:30 - Out of Core Learning
14:15 - Disadvantages of Online ML
16:50 - Differences between Batch vs Online Learning
19:10 - Outro",https://i.ytimg.com/vi/3oOipgCbLIk/sddefault.jpg,CampusX,359194,9983,280,1168,19.47,19:28,"19 Minutes, 28 Seconds",2021-03-18T12:41:31,https://www.youtube.com/watch?v=3oOipgCbLIk,"[#online machine learning, #batch machine learning, #types of machine learning, #online vs batch machine learning, #machine learning playlist, #machine learning course, #machine learning tutorial, #machine learning for beginners, #online vs offline learning, #campusx, #nitish sir campusx, #100 days of machine learning, #machine learning full course, #machine learning end to end, #data science full course, #data science in hindi, #machine learning in hindi, #online learning]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[support@campusx.in],"[https://riverml.xyz/dev/, https://github.com/campusx-official/online-ml-sklearn-demo, https://www.linkedin.com/company/campusx-official, https://discord.gg/PsWu8R87Z8, https://vowpalwabbit.org/, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://youtu.be/3oOipgCbLIk]"
Instance-Based Vs Model-Based Learning | Types of Machine Learning,"The Machine Learning systems which are categorized as instance-based learning are the systems that learn the training examples by heart and then generalize to new instances based on some similarity measure. It is called instance-based because it builds the hypotheses from the training instances. It is also known as memory-based learning or lazy learning. The time complexity of this algorithm depends upon the size of training data. The worst-case time complexity of this algorithm is O (n), where n is the number of training instances.

A system is called model-based when it learns from the data and creates a model, which has some parameters and it predicts the output by using this data trained model.

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

✨ Hashtags✨

#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi

⌚Time Stamps⌚

00:00 - Intro
00:50 - Instance vs Model Based Learning
03:00 - Instance based Learning
07:45 - Model based Learning
11:20 - Differences
16:30 - Outro",https://i.ytimg.com/vi/ntAOq1ioTKo/sddefault.jpg,CampusX,325840,8374,216,1004,16.73,16:44,"16 Minutes, 44 Seconds",2021-03-19T13:34:29,https://www.youtube.com/watch?v=ntAOq1ioTKo,"[#instance based learning, #instance based machine learning, #instance-based machine learning, #instance-based ml, #model-based machine learning, #model based machine learning, #model based learning, #model-based learning, #model-based ml, #instance-based vs model-based, #instance based vs model based, #machine learning tutorial, #machine learning types, #machine learning playlist, #campusx, #Instance-Based Vs Model-Based Learning, #Types of Machine Learning, #nitish sir campusx]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Challenges in Machine Learning | Problems in Machine Learning,"Machine Learning or ML is one of the most successful applications of Artificial intelligence which provides systems with automated learning without being constantly programmed. It has acquired a ton of noticeable quality lately due to its capacity to be applied across scores of ventures to tackle complex issues quickly and effectively. From Digital assistants that play your music to the products being recommended based on prior search, Machine Learning has taken over many aspects of our life.  It is a skill in high demand as companies require software that can grasp data and provide accurate results. The core objective is to obtain optimal functions with less confusion. But in this field, there are also many challenges and difficulties from development to production stages. 

The Cost of AI: https://research.google/pubs/pub43146/

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
Instagram: https://www.instagram.com/campusx.official
E-mail us at support@campusx.in

✨ Hashtags✨
#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi

⌚Time Stamps⌚

00:00 - Intro
00:50 - Data Collection
02:22 - Insufficient Data
06:10 - Non Representative Data
09:19 - Poor Quality Data
10:32 - Irrelevant Features
13:05 - Overfitting
15:39 - Underfitting
16:33 - Software Integration
19:20 - Offline Learning/Deployment
20:45 - Cost Involved
23:20 - Outro",https://i.ytimg.com/vi/WGUNAJki2S4/sddefault.jpg,CampusX,286659,8842,272,1420,23.67,23:40,"23 Minutes, 40 Seconds",2021-03-20T14:09:26,https://www.youtube.com/watch?v=WGUNAJki2S4,"[#challenges of machine learning, #challenges of ml, #100 days of machine learning, #campusx, #challenges for machine learning, #machine learning in industry, #intuitive machine learning, #machine learning playlist, #data science full course in hindi, #machine learning course for beginners, #machine learning end to end, #data science full course, #data science in hindi, #machine learning in hindi, #data science for beginners, #challenges in machine learning, #problems in machine learning]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://research.google/pubs/pub43146/, https://www.instagram.com/campusx.official]"
Application of Machine Learning | Real Life Machine Learning Applications,"In this video, we will discuss the wide range of applications of Machine Learning in different fields. Machine learning is the latest buzzword sweeping across the global business landscape. It’s captured the popular imagination, conjuring up visions of futuristic self-learning AI and robots. In industry, machine learning has paved the way for technological accomplishments and tools that would have been impossible a few years ago. From prediction engines to online TV live streaming, it powers the breakthrough innovations that support our modern lifestyles. In this video, we will discuss all the fields where machine learning technologies are used.

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
Instagram: https://www.instagram.com/campusx.official
E-mail us at support@campusx.in

✨ Hashtags✨
#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi

⌚Time Stamps⌚

00:00 - Intro
03:00 - Application in Retail Sector
09:33 - Banking and Finance
11:21 - Transportation
15:08 - Manufacturing
17:53 - Consumer Internet
19:40 - IMDB Movie Review Application
28:40 - Outro",https://i.ytimg.com/vi/UZio8TcTMrI/sddefault.jpg,CampusX,242511,10713,279,1742,29.03,29:02,"29 Minutes, 2 Seconds",2021-03-22T14:14:44,https://www.youtube.com/watch?v=UZio8TcTMrI,"[#machine learning applications, #real-life machine learning applications, #machine learning applications example, #machine learning based products, #machile learning for beginners, #top 10 applications of machine learning, #campusx, #data science full course, #machine learning full course, #data science full course in hindi, #machine learning full course in hindi, #how companies use machine learning, #practical uses of data science, #examples of data science, #intuitive data science]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Machine Learning Development Life Cycle | MLDLC in Data Science,"Machine learning has given computer systems the ability to automatically learn without being explicitly programmed. But how does a machine learning system work? So, it can be described using the life cycle of machine learning. Machine learning life cycle is a cyclic process to build an efficient machine learning project. The main purpose of the life cycle is to find a solution to the problem or project.


The machine learning life cycle involves seven major steps, which are given below:
1. Gathering Data
2. Data preparation
3. Data Wrangling
4. Analise Data
5. Train the model
6. Test the model
7. Deployment

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
Instagram: https://www.instagram.com/campusx.official
E-mail us at support@campusx.in

✨ Hashtags✨
#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi

⌚Time Stamps⌚

00:00 - Intro
01:02 - Background of the Topic
01:40 - What is Software Development Life Cycle
04:40 - Framing the problem
06:00 - Gathering the Data
08:32 - Data Pre-Processing
10:25 - EDA
13:20 - Feature Engineering and Selection
15:43 - Model Training, Evaluation and Selection+
19:23 - Model Deployment
21:23 - Beta Testing
22:45 - Optimizing the Model",https://i.ytimg.com/vi/iDbhQGz_rEo/sddefault.jpg,CampusX,289170,9078,248,1513,25.22,25:13,"25 Minutes, 13 Seconds",2021-03-23T14:44:09,https://www.youtube.com/watch?v=iDbhQGz_rEo,"[#machine learning life cycle, #development of machine learning, #life cycle of machine learning in hindi, #ml life cycle, #complete machine learning course, #campusx, #nitish sir campusx, #100 days of machine learning, #machine learning full course, #machine learning end to end, #data science full course, #data science in hindi, #machine learning in hindi, #data science for beginners, #machine learning for beginners, #Machine Learning Development Life Cycle, #MLDLC in Data Science]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Data Engineer Vs Data Analyst Vs Data Scientist Vs ML Engineer | Data Science Job Roles,"A Data Scientist employs advanced data techniques such as clustering, neural networks, decision trees, and the like for deriving business insights. In this role, you will be the senior-most in a team and should have deep expertise in machine learning, statistics, and data handling. You will be responsible for developing actionable business insights after they get inputs from Data Analysts and Data Engineers. You should have the skill-set of both data analyst and data engineer. However, in the case of a data scientist, the skill sets need to be more in-depth and exhaustive.

A Data Analyst occupies an entry-level role in a data analytics team. In this role, you need to be adept at translating numeric data into a form that can be understood by everyone in an organization. Moreover, you need to have required proficiency in several areas, including programming languages such as python, tools such as excel, fundamentals of data handling, reporting, and modeling.  With enough experience under your belt, you can gradually progress from a data analyst to assume the role of a data engineer and a data scientist. 

Data Engineers are the intermediary between data analysts and data scientists. As a data engineer, you will be responsible for the pairing and preparation of data for operational or analytical purposes. A lot of experience in the construction, development, and maintenance of the data architecture will be demanded from you for this role. Usually, in this role, you will get to work on Big Data, compile reports on it, and send it to data scientists for analysis.

Further Reading:
Read more: https://medium.com/campusx/exploring-the-mystery-behind-different-job-titles-for-machine-learning-and-data-science-9352849f283a?source=collection_home---2------6-----------------------

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
Instagram: https://www.instagram.com/campusx.official
E-mail us at support@campusx.in

✨ Hashtags✨
#100DaysOfMachineLearning #MachineLearningFullCourse #MachineLearningInHindi

⌚Time Stamps⌚

00:00 - Intro
03:10 - Various Data based Job Roles
05:08 - Data Engineer
11:00 - Data Analyst
16:27 - Data Scientist
19:50 - ML Engineer
21:50 - Comparison",https://i.ytimg.com/vi/93rKZs0MkgU/sddefault.jpg,CampusX,219856,7342,171,1583,26.38,26:23,"26 Minutes, 23 Seconds",2021-03-24T12:49:59,https://www.youtube.com/watch?v=93rKZs0MkgU,"[#data engineer vs data analyst, #data scientist vs data analyst, #what is data engineering, #data engineer vs data scientist, #data analyst vs data engineer, #data engineer vs data analyst vs data scientist, #Data Engineer V Data Analyst V Data Scientist V ML Engineer, #Data Science Job Roles, #ml engineer vs data scientist, #campusx, #nitish sir campusx, #100 days of machine learning, #machine learning end to end, #machine learning in hindi, #data science for beginners]","[#100DaysOfMachineLearning, #MachineLearningFullCourse, #MachineLearningInHindi]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://medium.com/campusx/exploring-the-mystery-behind-different-job-titles-for-machine-learning-and-data-science-9352849f283a?source=collection_home---2------6-----------------------, https://www.linkedin.com/in/nitish-singh-03412789, https://learnwith.campusx.in/s/store, https://www.instagram.com/campusx.official]"
