Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in minutes,Duration in timestamp,Duration,Uploaded Time,Video url,Tags,Tags (in description),Emails (in description),Links (in description)
Agentic AI using LangGraph | New Playlist | LangGraph Tutorial,"This playlist is your hands-on guide to building agentic AI systems using LangGraph—a powerful framework for managing multi-step, multi-agent workflows.

You’ll learn how to:

Understand the core ideas behind agentic workflows
Use LangGraph to define stateful agents and tasks
Coordinate multiple tools, APIs, and LLM calls
Handle memory, branching, and real-time decision logic
Build real applications like assistants, planners, and autonomous agents.

Just clear explanations, code demos, and practical projects.

⌚Time Stamps⌚

00:00 - Intro
01:30 - Why this Playlist?
04:22 - Vision behind this Playlist
07:13 - Curriculum [Tentative]
13:05 - Prerequisites
14:50 - FAQs",https://i.ytimg.com/vi/yC36gN-rqjo/maxresdefault.jpg,CampusX,559395,9293,617,1018,16.97,16:58,"16 Minutes, 58 Seconds",2025-06-17T09:20:33,https://www.youtube.com/watch?v=yC36gN-rqjo,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[],[]
Generative AI vs Agentic AI | Agentic AI using LangGraph | Video 1 | CampusX,"In this video, we break down the key difference between Generative AI and Agentic AI—and why it matters.

You’ll learn:
What Generative AI does (text, images, code)
What makes Agentic AI different (goals, memory, decisions)
Real-world use cases of Agentic AI
How LangGraph helps you build these systems step by step

We’ll also show you how LangGraph brings structure, memory, and control to LLM workflows—so your AI agents can actually reason, act, and adapt.

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
02:18 - What is GEN AI
07:03 - GEN AI vs Traditional AI
12:17 - Applications of GEN AI
20:08 - Chatbot 1
28:50 - Problems
31:47 - Chatbot 2 [RAG Based]
38:57 - Problems
40:13 - Chatbot 3 [Tool Augmented]
48:31 - Problems
50:28 - Chatbot 4 [Agentic AI]
57:25 - Problems
58:41 - Conclusion",https://i.ytimg.com/vi/xdA0pGDiUPE/maxresdefault.jpg,CampusX,188223,6331,289,3764,62.73,1:02:44,"1 Hours, 2 Minutes, 44 Seconds",2025-06-24T12:28:44,https://www.youtube.com/watch?v=xdA0pGDiUPE,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
What is Agentic AI? | Agentic AI using LangGraph | Video 2 | CampusX,"This video explains what Agentic AI really means—and how it goes beyond traditional Generative AI.

You’ll learn:
The core idea behind Agentic AI: autonomous decision-making
How agents use memory, tools, and goals to act
Why this matters for real-world AI applications
How LangGraph helps you build and manage agent workflows

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
01:31 - What is Agentic AI?
06:15 - Example of Agentic AI
15:26 - Key Characteristics
16:50 - Autonomy
24:32 - Goal Oriented
29:05 - Planning
35:45 - Reasoning
41:46 - Adaptability
45:56 - Context Awareness
51:53 - Components of Agentic AI
52:40 - Brain
54:05 - Orchestrator
55:58 - Tools
56:55 - Memory 
57:35 - Supervisor",https://i.ytimg.com/vi/GWnSsjT4V68/maxresdefault.jpg,CampusX,153063,5073,283,3625,60.42,1:00:25,"1 Hours, 0 Minutes, 25 Seconds",2025-06-27T13:46:52,https://www.youtube.com/watch?v=GWnSsjT4V68,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
LangChain Vs LangGraph | Agentic AI using LangGraph | Video 3 | CampusX,"This video walks you through the key concepts of building automated, agentic workflows using LangGraph. We cover what LangGraph is, how it’s used, and dive deep into topics like control flow, state management, event-driven execution, fault tolerance, human-in-the-loop setups, and nested workflows. Perfect if you're exploring complex AI systems with real-world use in mind.

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
02:30 - Goal
03:40 - Disclaimer
05:20 - What is LangChain
10:15 - LangChain Use
15:40 - Understanding Automated Workflow
27:36 - Control Flow Complexity
39:16 - Handling State
49:50 - Event Driven Execution
55:55 - Fault Tolerance
01:02:26 - Human in the loop
01:08:54 - Nested Workflows
01:15:53 - Observability
01:22:38 - Conclusion/Revision",https://i.ytimg.com/vi/31qyMKNB2RA/maxresdefault.jpg,CampusX,174248,4993,284,5249,87.48,1:27:29,"1 Hours, 27 Minutes, 29 Seconds",2025-07-04T08:40:03,https://www.youtube.com/watch?v=31qyMKNB2RA,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
LangGraph Core Concepts | Agentic AI using LangGraph | Video 4 | CampusX,"This video breaks down the key building blocks of LangGraph. You’ll learn how to design and manage LLM workflows using concepts like prompt chaining, routing, parallel execution, and graph-based orchestration.

We cover:

How LangGraph structures workflows with nodes and edges
How state, reducers, and orchestrators work together
The full execution model that powers agentic AI systems

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
01:14 - What is LangGraph?
05:43 - LLM WorkFlows
09:07 - Prompt Chaining
11:17 - Routing
13:14 - Parallelization
16:11 - Orchestrator Workers
19:48 - Evaluator Optimizer
23:00 - Graphs Nodes and Edges
30:53 - State
36:07 - Reducers
44:38 - LangGraph Execution Model",https://i.ytimg.com/vi/D5KhiCDM9XQ/maxresdefault.jpg,CampusX,152437,5258,177,3112,51.87,51:52,"51 Minutes, 52 Seconds",2025-07-09T17:05:37,https://www.youtube.com/watch?v=D5KhiCDM9XQ,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Sequential Workflows in LangGraph | Agentic AI using LangGraph | Video 5 | CampusX,"This video shows you how to build sequential workflows using LangGraph, step by step. You’ll start from installation, build your first simple workflow, and then move on to LLM-based workflows with prompt chaining.

What’s covered:
Setting up LangGraph
Building and running your first workflow
Creating LLM workflows with clear, step-by-step sequences
Using prompt chaining to structure outputs

Perfect if you’re just getting started with LangGraph and want to understand how sequential AI workflows actually work.

Code - https://github.com/campusx-official/langgraph-tutorials

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
02:43 - Installation
07:17 - First Workflow
26:11 - LLM Workflow
36:55 - Prompt Chaining
49:03 - Outro",https://i.ytimg.com/vi/bAWujyAl1Kk/maxresdefault.jpg,CampusX,132740,3775,164,2953,49.22,49:13,"49 Minutes, 13 Seconds",2025-07-11T14:30:29,https://www.youtube.com/watch?v=bAWujyAl1Kk,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/langgraph-tutorials, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Parallel Workflows in LangGraph | Agentic AI using LangGraph | Video 6 | CampusX,"This video teaches you how to build parallel workflows using LangGraph. You’ll learn how to run multiple tasks at the same time, manage branching logic, and combine results effectively.

What’s covered:
How to structure parallel tasks in LangGraph
Running independent nodes simultaneously
Merging outputs from parallel workflows
Practical examples for faster, more efficient LLM applications

If you want to scale your AI workflows with speed and flexibility, this is a great place to start.

Code - https://github.com/campusx-official/langgraph-tutorials

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
02:43 - Installation
07:15 - First Workflow
26:11 - LLM Workflow
36:55 - Prompt Chaining",https://i.ytimg.com/vi/O6ryuSpqdOw/maxresdefault.jpg,CampusX,104443,3327,188,3569,59.48,59:29,"59 Minutes, 29 Seconds",2025-07-14T10:44:41,https://www.youtube.com/watch?v=O6ryuSpqdOw,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/langgraph-tutorials, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Conditional Workflows in LangGraph | Agentic AI using LangGraph | Video 7 | CampusX,"This video shows you how to build conditional workflows using LangGraph—where the next step depends on specific outcomes or decisions.

What’s covered:
Designing workflows with branching logic
Handling quality evaluation (QE) checks
Using LLM outputs to guide different paths (e.g., review handling)

Perfect if you want more control over how your AI workflows adapt to different scenarios.

Code - https://github.com/campusx-official/langgraph-tutorials

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Recap
04:38 - Conditional Workflow / QE
24:20 - LLM - Review Handling",https://i.ytimg.com/vi/I-dvZqTz-Wc/maxresdefault.jpg,CampusX,83025,3000,136,2858,47.63,47:38,"47 Minutes, 38 Seconds",2025-07-16T15:26:28,https://www.youtube.com/watch?v=I-dvZqTz-Wc,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/langgraph-tutorials, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Iterative Workflows in LangGraph | Agentic AI using LangGraph | Video 8 | CampusX,"Code - https://github.com/campusx-official/langgraph-tutorials

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Recap
01:51 - Plan of Action
08:15 - Building the Workflow
29:45 - Testing",https://i.ytimg.com/vi/7CbSqrovcsE/maxresdefault.jpg,CampusX,69404,2618,143,2234,37.23,37:14,"37 Minutes, 14 Seconds",2025-07-21T17:54:31,https://www.youtube.com/watch?v=7CbSqrovcsE,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/langgraph-tutorials, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
How to build a Chatbot using LangGraph,"Code - https://github.com/campusx-official/langgraph-tutorials

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Plan of Action
03:04 - Design and Code",https://i.ytimg.com/vi/51Ve2tE3Zns/sddefault.jpg,CampusX,100273,3229,172,2198,36.63,36:38,"36 Minutes, 38 Seconds",2025-07-25T14:59:01,https://www.youtube.com/watch?v=51Ve2tE3Zns,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/langgraph-tutorials, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
