Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in minutes,Duration in timestamp,Duration,Uploaded Time,Video url,Tags,Tags (in description),Emails (in description),Links (in description)
GenAI Roadmap for Beginners | End-to-End GenAI Course 2025 | CampusX,"Hello Guys! Here is the most requested playlist. Happy Learning!

Resources: https://github.com/Yash-Kavaiya/End-to-End-GenAI-Course-2025-CampusX

My Notes: https://learnwith.campusx.in/products#nav_bar

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
02:05 - What is GEN AI?
07:04 - GENAI Impact Areas
11:40 - Is GENAI successful?
17:45 - Reason behind delay
19:40 - The Problem with GENAI
21:00 - Solution
29:28 - Builder's Perspective
35:45 - User's Perspective
41:45 - Should you learn both sides?
44:00 - How to cover GENAI?
46:10 - FAQs and a Promise",https://i.ytimg.com/vi/pSVk-5WemQ0/maxresdefault.jpg,CampusX,1145119,23370,1139,3015,50.25,50:15,"50 Minutes, 15 Seconds",2025-01-29T03:32:10,https://www.youtube.com/watch?v=pSVk-5WemQ0,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]","[#heading, #nav_bar]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://github.com/Yash-Kavaiya/End-to-End-GenAI-Course-2025-CampusX, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://learnwith.campusx.in/products#nav_bar, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Generative AI using LangChain | GENAI for Beginners | CampusX,"============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
03:07 - What is Langchain?
06:26 - Why LangChain First?
08:19 - Curriculum Structure
11:06 - Focus for this Playlist
13:42 - Timeline for this Playlist",https://i.ytimg.com/vi/_3ezSpJw2E8/maxresdefault.jpg,CampusX,304678,10087,413,919,15.32,15:19,"15 Minutes, 19 Seconds",2025-02-01T03:20:45,https://www.youtube.com/watch?v=_3ezSpJw2E8,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Introduction to LangChain | LangChain for Beginners | Video 1 | CampusX,"============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
00:57 - What is LangChain?
01:58 - Why do we need LangChain?
04:42 - High Level Discussion of App
26:35 - Benefits of LangChain
30:33 - What can you build with LangChain?
35:50 - Alternatives to LangChain",https://i.ytimg.com/vi/nlz9j-r0U9U/maxresdefault.jpg,CampusX,435588,14366,542,2264,37.73,37:44,"37 Minutes, 44 Seconds",2025-02-05T08:30:06,https://www.youtube.com/watch?v=nlz9j-r0U9U,[],[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
LangChain Components | GenAI using LangChain | Video 2 | CampusX,"============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
02:15 - Recap
04:48 - LangChain Components
05:46 - Models
16:47 - Prompts
24:20 - Chains
31:55 - Indexes
39:10 - Memory
44:04 - Agents",https://i.ytimg.com/vi/-xSJA8-o6Eg/maxresdefault.jpg,CampusX,381617,11460,415,3204,53.4,53:24,"53 Minutes, 24 Seconds",2025-02-08T14:30:00,https://www.youtube.com/watch?v=-xSJA8-o6Eg,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[#heading],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
LangChain Models | Indepth Tutorial with Code Demo | Video 3 | CampusX,"Code - https://github.com/campusx-official/langchain-models

Full GENAI Playlist: https://www.youtube.com/playlist?list=PLKnIA16_RmvaTbihpo4MtzVm4XOQa0ER0

My Notes: https://learnwith.campusx.in/products#nav_bar

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
00:55 - Recap
02:18 - What are Models?
06:56 - Plan of Action
09:01 - Language Models
16:20 - Setup
20:37 - Code Demo
53:26 - Open Source Models
01:29:52 - Embedding Models",https://i.ytimg.com/vi/HdcLE8JuMrA/maxresdefault.jpg,CampusX,518225,12481,1034,6123,102.05,1:42:03,"1 Hours, 42 Minutes, 3 Seconds",2025-02-12T14:30:07,https://www.youtube.com/watch?v=HdcLE8JuMrA,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]","[#heading, #nav_bar]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://learnwith.campusx.in/products#nav_bar, https://github.com/campusx-official/langchain-models, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw, https://www.youtube.com/playlist?list=PLKnIA16_RmvaTbihpo4MtzVm4XOQa0ER0]"
Prompts in LangChain | Generative AI using LangChain | Video 4 | CampusX,"Code - https://github.com/campusx-official/langchain-prompts

My Notes: https://learnwith.campusx.in/products#nav_bar

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
01:00 - Recap
02:17 - Error Correction
06:17 - Prompts
10:30 - Static vs Dynamic Prompt
27:05 - Prompt Template
36:49 - Messages
56:31 - Chat Prompt Templates
01:06:37 - Message Placeholder",https://i.ytimg.com/vi/3TGqlQxpuU0/maxresdefault.jpg,CampusX,334607,7858,378,4713,78.55,1:18:33,"1 Hours, 18 Minutes, 33 Seconds",2025-02-27T06:43:07,https://www.youtube.com/watch?v=3TGqlQxpuU0,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]","[#heading, #nav_bar]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://github.com/campusx-official/langchain-prompts, https://learnwith.campusx.in/products#nav_bar, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Structured Output in LangChain | Generative AI using LangChain | Video 5 | CampusX,"Code - https://github.com/campusx-official/langchain-structured-output

My Notes: https://learnwith.campusx.in/products#nav_bar

In this video, we explore how to make LLMs interact with databases, APIs, and other systems using structured responses like JSON instead of unstructured text.

📌 What You’ll Learn:
✅ Difference between structured vs. unstructured output
✅ How structured output improves data processing and automation
✅ Real-world use cases for integrating LLMs with APIs and databases

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
01:13 - Recap
02:09 - What is Structured Output?
05:17 - Why do we need structured output?
11:40 - Ways to get structured output
14:08 - with_structured_output function
15:33 - TypedDict
36:07 - Pydantic
01:02:32 - JSON
01:02:58 - When to use?
01:04:53 - Important Points
01:07:47 - Outro",https://i.ytimg.com/vi/y5EmRr1O1h4/maxresdefault.jpg,CampusX,239398,6193,259,4093,68.22,1:08:13,"1 Hours, 8 Minutes, 13 Seconds",2025-03-03T16:27:16,https://www.youtube.com/watch?v=y5EmRr1O1h4,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building, #genai]","[#heading, #nav_bar]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://learnwith.campusx.in/products#nav_bar, https://github.com/campusx-official/langchain-structured-output, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Output Parsers in LangChain | Generative AI using LangChain | Video 6 | CampusX,"Code - https://github.com/campusx-official/langchain-output-parsers

My Notes: https://learnwith.campusx.in/products#nav_bar

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
01:10 - Recap
04:04 - Output Parsers
06:28 - Str Output Parser
21:40 - JSON Output Parser
32:50 - Structured Output Parser
42:04 - Pydantic Output Parser",https://i.ytimg.com/vi/Op6PbJZ5b2Q/maxresdefault.jpg,CampusX,171266,5155,272,3193,53.22,53:13,"53 Minutes, 13 Seconds",2025-03-08T08:34:51,https://www.youtube.com/watch?v=Op6PbJZ5b2Q,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]","[#heading, #nav_bar]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://learnwith.campusx.in/products#nav_bar, https://www.instagram.com/campusx.official, https://github.com/campusx-official/langchain-output-parsers, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw]"
Chains in LangChain | Generative AI using LangChain | Video 7 | CampusX,"Code - https://github.com/campusx-official/langchain-chains

My Notes: https://learnwith.campusx.in/products#nav_bar

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
00:41 - Recap
02:42 - What & Why
08:11 - Simple Chain
14:30 - Sequential Chain
119:48 - Parallel Chain
32:36 - Conditional Chains",https://i.ytimg.com/vi/5hjrPILA3-8/maxresdefault.jpg,CampusX,157960,5506,285,3241,54.02,54:01,"54 Minutes, 1 Seconds",2025-03-12T13:00:51,https://www.youtube.com/watch?v=5hjrPILA3-8,[],"[#heading, #nav_bar]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://learnwith.campusx.in/products#nav_bar, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw, https://github.com/campusx-official/langchain-chains]"
What are Runnables in LangChain | Generative AI using LangChain | Video 8 | CampusX,"Code - https://colab.research.google.com/drive/1gv3e-OfHCi6IuVBVR7xWmrcVl6gHsydv?usp=sharing

https://colab.research.google.com/drive/1P11hpAPtjr0oIiqQ5pNsdnMxmascdbBY?usp=sharing

Github: https://github.com/campusx-official/langchain-runnables

My Notes: https://learnwith.campusx.in/products#nav_bar

============================
Did you like my teaching style?
Check my affordable mentorship program at : https://learnwith.campusx.in
DSMP FAQ: https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
Slide into our DMs: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in

⌚Time Stamps⌚

00:00 - Intro
01:39 - Recap
03:12 - Why do runnables exist?
11:45 - Simple LLM App
24:00 - Different Types of Chains
26:44 - Problems
33:44 - What are runnables?
39:47 - Code Demo",https://i.ytimg.com/vi/u3b-W1NgYa4/maxresdefault.jpg,CampusX,160047,6247,452,4582,76.37,1:16:22,"1 Hours, 16 Minutes, 22 Seconds",2025-03-20T02:25:10,https://www.youtube.com/watch?v=u3b-W1NgYa4,[],"[#heading, #nav_bar]",[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in, https://www.linkedin.com/in/nitish-singh-03412789, https://colab.research.google.com/drive/1P11hpAPtjr0oIiqQ5pNsdnMxmascdbBY?usp=sharing, https://github.com/campusx-official/langchain-runnables, https://learnwith.campusx.in/products#nav_bar, https://www.instagram.com/campusx.official, https://docs.google.com/document/d/1OsMe9jGHoZS67FH8TdIzcUaDWuu5RAbCbBKk2cNq6Dk/edit#heading=h.gvv0r2jo3vjw, https://colab.research.google.com/drive/1gv3e-OfHCi6IuVBVR7xWmrcVl6gHsydv?usp=sharing]"
